iter	MultiClass
0	3.484358036
1	3.364167396
2	3.27115719
3	3.193722015
4	3.128749597
5	3.07203475
6	3.023298224
7	2.980201507
8	2.941382378
9	2.906966786
10	2.87268258
11	2.841559501
12	2.813862321
13	2.790508111
14	2.768888174
15	2.74727846
16	2.728285457
17	2.71043574
18	2.693456294
19	2.678840115
20	2.664333766
21	2.651142342
22	2.638821351
23	2.627367637
24	2.616773147
25	2.60708975
26	2.598056375
27	2.589597878
28	2.581657417
29	2.574086091
30	2.566812705
31	2.56019225
32	2.553938715
33	2.548114093
34	2.542798216
35	2.537091061
36	2.531932981
37	2.527014475
38	2.522331883
39	2.518139761
40	2.514072477
41	2.510606721
42	2.506704498
43	2.503652069
44	2.500397953
45	2.496900494
46	2.493860709
47	2.490773616
48	2.48810628
49	2.485769972
50	2.483223903
51	2.480930221
52	2.478998051
53	2.476812893
54	2.474624759
55	2.472401916
56	2.470653945
57	2.468265087
58	2.466452844
59	2.464779377
60	2.46283959
61	2.461247175
62	2.458482212
63	2.457263142
64	2.456062612
65	2.454603263
66	2.453042104
67	2.451103884
68	2.449877477
69	2.448832857
70	2.44781796
71	2.446950946
72	2.445934182
73	2.445092507
74	2.44374552
75	2.442591277
76	2.441499787
77	2.440819792
78	2.44017067
79	2.439496434
80	2.438592478
81	2.437924594
82	2.437350412
83	2.436757976
84	2.435877292
85	2.435076148
86	2.434209419
87	2.433483556
88	2.432749747
89	2.431958197
90	2.431457342
91	2.430625088
92	2.429723736
93	2.429227897
94	2.42802005
95	2.427398749
96	2.426998985
97	2.426259718
98	2.425767886
99	2.425226957
100	2.424336292
101	2.423679714
102	2.423283838
103	2.422802615
104	2.422304812
105	2.42181681
106	2.421394474
107	2.421026522
108	2.420667128
109	2.419757073
110	2.418946019
111	2.418471088
112	2.417912523
113	2.417426111
114	2.416655449
115	2.415876246
116	2.415209457
117	2.41471616
118	2.414083842
119	2.413678163
120	2.41336317
121	2.412597341
122	2.412262586
123	2.411775704
124	2.411446165
125	2.410980332
126	2.410316153
127	2.410016828
128	2.409525647
129	2.409064652
130	2.408550997
131	2.408041448
132	2.407790687
133	2.407221528
134	2.40665558
135	2.406207644
136	2.405621647
137	2.405340515
138	2.405022546
139	2.404752834
140	2.404577218
141	2.40424893
142	2.403940171
143	2.403581734
144	2.403034291
145	2.402450159
146	2.402111819
147	2.401450031
148	2.400934825
149	2.400599448
150	2.400197136
151	2.399880268
152	2.399206216
153	2.398945617
154	2.398597543
155	2.398240636
156	2.39800305
157	2.397793234
158	2.397166866
159	2.396834336
160	2.396472587
161	2.396309193
162	2.395966851
163	2.395734052
164	2.395370815
165	2.395203084
166	2.394936344
167	2.394592221
168	2.394326175
169	2.394195311
170	2.393775161
171	2.393478951
172	2.393250905
173	2.393094354
174	2.392752356
175	2.392271922
176	2.392054122
177	2.391545527
178	2.391265626
179	2.391033345
180	2.39090967
181	2.390617252
182	2.390362877
183	2.39001747
184	2.389689947
185	2.389539475
186	2.389323702
187	2.389024362
188	2.3885494
189	2.388209341
190	2.388051402
191	2.387704799
192	2.38758796
193	2.387299829
194	2.387125135
195	2.38680842
196	2.38653547
197	2.386241192
198	2.385964586
199	2.385764709
200	2.385418664
201	2.38481138
202	2.384597711
203	2.38434321
204	2.383639219
205	2.383364718
206	2.383001163
207	2.382797018
208	2.382649647
209	2.382383505
210	2.382132529
211	2.381877699
212	2.381571202
213	2.381356931
214	2.381139987
215	2.380566848
216	2.38040535
217	2.380232867
218	2.379880693
219	2.379578168
220	2.379335494
221	2.379033782
222	2.378812859
223	2.378699363
224	2.378530681
225	2.378297197
226	2.378087858
227	2.377864478
228	2.377489222
229	2.377179064
230	2.376920784
231	2.376654481
232	2.376461561
233	2.376254248
234	2.37605386
235	2.375784723
236	2.375588797
237	2.375126638
238	2.374829405
239	2.374499422
240	2.374223878
241	2.374002786
242	2.373799327
243	2.373461211
244	2.373162843
245	2.372861968
246	2.372655046
247	2.372460898
248	2.372214739
249	2.371827772
250	2.37149658
251	2.371228327
252	2.371013017
253	2.370715651
254	2.370395954
255	2.370189066
256	2.369946822
257	2.369759811
258	2.369453225
259	2.369310079
260	2.369142429
261	2.369006156
262	2.368863664
263	2.368651276
264	2.368335333
265	2.368050817
266	2.367772237
267	2.367647175
268	2.367537038
269	2.367412482
270	2.367203174
271	2.366951192
272	2.366710415
273	2.366539168
274	2.366383206
275	2.366250291
276	2.365976421
277	2.365721554
278	2.365561658
279	2.365374868
280	2.365106128
281	2.36486398
282	2.36462687
283	2.364498906
284	2.36427245
285	2.364060343
286	2.36386357
287	2.363634805
288	2.363450225
289	2.363005179
290	2.362883818
291	2.36277004
292	2.362568141
293	2.36243596
294	2.362293658
295	2.362044582
296	2.361957737
297	2.361766696
298	2.361618794
299	2.361426872
300	2.361244866
301	2.361048865
302	2.360760321
303	2.360361994
304	2.36023067
305	2.360022246
306	2.359760919
307	2.359626408
308	2.359399198
309	2.359240568
310	2.359055324
311	2.358841288
312	2.358678157
313	2.358531325
314	2.358355703
315	2.358243422
316	2.358016877
317	2.35788735
318	2.357652315
319	2.357478205
320	2.357207944
321	2.357026879
322	2.356745268
323	2.356536584
324	2.356366871
325	2.356206371
326	2.356001281
327	2.355730493
328	2.355618041
329	2.355398071
330	2.355299973
331	2.355161513
332	2.354949303
333	2.354703889
334	2.354500564
335	2.354329425
336	2.354117685
337	2.353879794
338	2.353579291
339	2.353348376
340	2.353136239
341	2.352879261
342	2.352728918
343	2.352530108
344	2.352367951
345	2.352243492
346	2.352035289
347	2.351895035
348	2.351780109
349	2.351656062
350	2.351530496
351	2.351448433
352	2.351288384
353	2.351008247
354	2.350816488
355	2.350705645
356	2.350506885
357	2.350300186
358	2.350048432
359	2.349785623
360	2.349611389
361	2.34943302
362	2.349241553
363	2.349058389
364	2.348888341
365	2.348657658
366	2.348551081
367	2.348407096
368	2.348203231
369	2.348077587
370	2.347959806
371	2.347842957
372	2.347664795
373	2.347455473
374	2.347287888
375	2.347155455
376	2.346965089
377	2.346837243
378	2.3467102
379	2.346628046
380	2.34652952
381	2.346376513
382	2.346277483
383	2.346132379
384	2.345876176
385	2.345624333
386	2.345504397
387	2.345294584
388	2.345131204
389	2.344987695
390	2.344832816
391	2.344681179
392	2.344458468
393	2.344325293
394	2.344211439
395	2.344070144
396	2.343898003
397	2.343676342
398	2.343500695
399	2.343422976
400	2.343249359
401	2.343105792
402	2.342985527
403	2.342893069
404	2.342811932
405	2.342634623
406	2.342507787
407	2.342325633
408	2.34213921
409	2.341915144
410	2.34166574
411	2.341546364
412	2.341376562
413	2.341177666
414	2.341071053
415	2.340902228
416	2.340734938
417	2.340543157
418	2.34040797
419	2.340234089
420	2.34005951
421	2.339971537
422	2.339803067
423	2.339646436
424	2.339511637
425	2.33939767
426	2.339211205
427	2.338935067
428	2.338781009
429	2.338662662
430	2.33858535
431	2.338459923
432	2.33829606
433	2.338169018
434	2.338051396
435	2.337885821
436	2.337792706
437	2.337678144
438	2.337507645
439	2.337356228
440	2.33720667
441	2.337076439
442	2.336934944
443	2.33667173
444	2.336482138
445	2.336346912
446	2.336259668
447	2.336133184
448	2.335980048
449	2.335921496
450	2.335810097
451	2.335665066
452	2.335542271
453	2.335381214
454	2.335281705
455	2.335208674
456	2.335124226
457	2.33499011
458	2.334820294
459	2.334662833
460	2.334570126
461	2.334474231
462	2.334226324
463	2.33408357
464	2.333926472
465	2.333797366
466	2.33363093
467	2.333552392
468	2.333456248
469	2.333353018
470	2.333194267
471	2.333086243
472	2.332972973
473	2.332882654
474	2.332748781
475	2.33268952
476	2.332529926
477	2.332447779
478	2.332355396
479	2.332211973
480	2.332109706
481	2.331988583
482	2.331910748
483	2.331795194
484	2.331679309
485	2.331555088
486	2.331387425
487	2.331305426
488	2.331185046
489	2.331117013
490	2.330884546
491	2.330770974
492	2.330552537
493	2.33041073
494	2.330241962
495	2.33010473
496	2.329989529
497	2.329844435
498	2.329734257
499	2.329659619
500	2.329466409
501	2.329356307
502	2.329264752
503	2.329129206
504	2.328990403
505	2.328868694
506	2.328753994
507	2.32858757
508	2.328410826
509	2.328266022
510	2.328188173
511	2.328067295
512	2.327924647
513	2.327839751
514	2.327671689
515	2.327491529
516	2.327380564
517	2.327262023
518	2.327130742
519	2.327006116
520	2.32688359
521	2.326789138
522	2.326645969
523	2.326483628
524	2.326322297
525	2.326202345
526	2.326138275
527	2.326044908
528	2.325892294
529	2.325776593
530	2.325685504
531	2.325613632
532	2.325472516
533	2.325326526
534	2.325242477
535	2.325148235
536	2.325019485
537	2.324926436
538	2.324840962
539	2.324769927
540	2.324595952
541	2.324531036
542	2.324448719
543	2.324359351
544	2.324267329
545	2.324154572
546	2.324040496
547	2.323886612
548	2.323786621
549	2.323575024
550	2.323412887
551	2.323306218
552	2.323189752
553	2.323072633
554	2.323001587
555	2.322885047
556	2.322797903
557	2.322669644
558	2.322553898
559	2.322431151
560	2.322346492
561	2.322259441
562	2.322173178
563	2.322050601
564	2.321947105
565	2.321872916
566	2.321728691
567	2.321657848
568	2.321551173
569	2.321463739
570	2.321350784
571	2.321181733
572	2.321056571
573	2.320949037
574	2.320822557
575	2.320692763
576	2.320579787
577	2.32042596
578	2.320319256
579	2.320229998
580	2.320145242
581	2.319990054
582	2.319851766
583	2.319757066
584	2.31970537
585	2.319589234
586	2.319511823
587	2.319392135
588	2.319327983
589	2.319262948
590	2.319122911
591	2.319049401
592	2.318977457
593	2.318854424
594	2.318730107
595	2.318605275
596	2.318518179
