iter	Passed	Remaining
0	1334	1333023
1	2544	1269696
2	3679	1222822
3	4784	1191389
4	5964	1186973
5	7098	1175940
6	8220	1166195
7	9455	1172504
8	10627	1170193
9	11844	1172565
10	13130	1180571
11	14347	1181296
12	15430	1171554
13	16555	1165990
14	17666	1160084
15	18787	1155448
16	20023	1157801
17	21277	1160831
18	22527	1163131
19	23596	1156236
20	24777	1155084
21	25912	1151911
22	27029	1148186
23	28248	1148773
24	29360	1145055
25	30433	1140089
26	31610	1139160
27	32885	1141583
28	34232	1146204
29	35591	1150805
30	37125	1160457
31	38439	1162796
32	39796	1166165
33	41435	1177258
34	42717	1177780
35	43939	1176604
36	45113	1174172
37	46224	1170207
38	47432	1168787
39	48492	1163828
40	49603	1160240
41	50723	1156979
42	51793	1152708
43	52900	1149392
44	54048	1147030
45	55122	1143200
46	56245	1140473
47	57355	1137547
48	58435	1134116
49	59534	1131158
50	60661	1128771
51	61890	1128314
52	63079	1127107
53	64185	1124440
54	65442	1124424
55	66565	1122109
56	67745	1120775
57	68833	1117948
58	69884	1114596
59	70990	1112191
60	72111	1110038
61	73189	1107288
62	74315	1105294
63	75456	1103558
64	76494	1100341
65	77671	1099172
66	78889	1098559
67	80012	1096647
68	81121	1094554
69	82373	1094391
70	83539	1093076
71	84672	1091337
72	85824	1089857
73	86916	1087633
74	88172	1087456
75	89337	1086154
76	90531	1085202
77	91602	1082785
78	92691	1080619
79	93842	1079193
80	94940	1077160
81	96069	1075508
82	97168	1073539
83	98222	1071090
84	99374	1069740
85	100465	1067733
86	101652	1066769
87	102784	1065220
88	104004	1064584
89	105458	1066303
90	106573	1064559
91	107736	1063314
92	108924	1062307
93	110060	1060798
94	111234	1059650
95	112333	1057803
96	113521	1056806
97	114649	1055241
98	115764	1053575
99	116848	1051636
100	117967	1050027
101	118997	1047643
102	120108	1045993
103	121249	1044610
104	122401	1043330
105	123499	1041589
106	124629	1040133
107	125655	1037824
108	126776	1036311
109	127932	1035089
110	129007	1033224
111	130157	1031960
112	131187	1029760
113	132348	1028605
114	133476	1027191
115	134632	1025994
116	135690	1024058
117	136821	1022684
118	137909	1020991
119	138976	1019161
120	140030	1017243
121	141150	1015818
122	142240	1014186
123	143344	1012656
124	144403	1010827
125	145483	1009147
126	146501	1007056
127	147643	1005822
128	149016	1006152
129	150341	1006131
130	151660	1006051
131	152809	1004836
132	153931	1003445
133	155031	1001920
134	156065	999972
135	157150	998370
136	158278	997039
137	159387	995592
138	160529	994357
139	161687	993224
140	162861	992185
141	163982	990825
142	165111	989516
143	166293	988522
144	167493	987636
145	168656	986523
146	169732	984912
147	170787	983183
148	171961	982142
149	173149	981182
150	174205	979474
151	175338	978204
152	176380	976434
153	177433	974730
154	178579	973544
155	179666	972042
156	180847	971046
157	182008	969943
158	183113	968543
159	184261	967375
160	185405	966182
161	186618	965348
162	187764	964163
163	188978	963329
164	190099	962020
165	191255	960886
166	192402	959710
167	193752	959537
168	195002	958856
169	196207	957955
170	197360	956796
171	198615	956123
172	199904	955614
173	201037	954350
174	202232	953383
175	203527	952880
176	204657	951601
177	205780	950288
178	207018	949511
179	208177	948363
180	209292	947018
181	210359	945461
182	211443	943985
183	212658	943092
184	213772	941752
185	215056	941161
186	216242	940134
187	217381	938902
188	218672	938323
189	219783	936973
190	221025	936176
191	222243	935273
192	223541	934704
193	224907	934408
194	226305	934235
195	227702	934043
196	229029	933558
197	230381	933163
198	231648	932415
199	232949	931797
200	234274	931270
201	235631	930859
202	236921	930178
203	238276	929747
204	239575	929084
205	240871	928407
206	242237	927992
207	243593	927527
208	244841	926649
209	246056	925641
210	247283	924676
211	248541	923825
212	249839	923116
213	251152	922458
214	252409	921589
215	253788	921159
216	255215	920893
217	256532	920223
218	257790	919335
219	259123	918709
220	260363	917753
221	261603	916791
222	262842	915823
223	264193	915240
224	265458	914355
225	266716	913445
226	267958	912475
227	269252	911678
228	270412	910427
229	271627	909362
230	272990	908786
231	274378	908288
232	275735	907679
233	277039	906889
234	278345	906104
235	279701	905475
236	281018	904713
237	282382	904097
238	283715	903379
239	284997	902491
240	286368	901882
241	287724	901220
